time,서울시(대곡교),성남시(성남북초교),광주시(남한산초교),성남시(대장동),성남시(구미초교),성남시(한국학중앙연구원),성남시(궁내교)_WL,성남시(궁내교)_Q,서울시(대곡교)_WL,서울시(대곡교)_Q,대곡교_Ti,궁내교_Ti
2022-07-30 11:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.93,3.09,2.08,6.01,0.0,0.0
2022-07-30 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.93,3.09,2.08,6.01,0.0,0.0
2022-07-30 12:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,3.29,2.08,6.01,0.0,0.0
2022-07-30 12:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,3.29,2.08,6.01,0.0,0.0
2022-07-30 12:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.94,3.29,2.08,6.01,0.0,0.0
2022-07-30 12:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,3.49,2.08,6.01,0.0,0.0
2022-07-30 12:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,3.49,2.09,6.01,0.0,0.0
2022-07-30 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,3.49,2.09,6.01,0.0,0.0
2022-07-30 13:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.95,3.49,2.09,6.01,0.0,0.0
2022-07-30 13:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 13:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 13:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 13:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 14:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 14:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 14:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 14:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 14:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.01,0.0,0.0
2022-07-30 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.56,0.0,0.0
2022-07-30 15:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.56,0.0,0.0
2022-07-30 15:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.09,6.56,0.0,0.0
2022-07-30 15:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.1,6.56,0.0,0.0
2022-07-30 15:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.1,6.56,0.0,0.0
2022-07-30 15:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.1,6.56,0.0,0.0
2022-07-30 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.1,6.56,0.0,0.0
2022-07-30 16:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.1,6.56,0.0,0.0
2022-07-30 16:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.1,6.56,0.0,0.0
2022-07-30 16:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.1,7.13,0.0,0.0
2022-07-30 16:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.1,7.13,0.0,0.0
2022-07-30 16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.1,7.13,0.0,0.0
2022-07-30 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.1,7.13,0.0,0.0
2022-07-30 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.1,7.13,0.0,0.0
2022-07-30 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.72,0.0,0.0
2022-07-30 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.72,0.0,0.0
2022-07-30 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.72,0.0,0.0
2022-07-30 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 21:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 21:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 21:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 22:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 22:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 22:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-30 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,7.13,0.0,0.0
2022-07-31 01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.56,0.0,0.0
2022-07-31 01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.56,0.0,0.0
2022-07-31 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.56,0.0,0.0
2022-07-31 02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.56,0.0,0.0
2022-07-31 02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.56,0.0,0.0
2022-07-31 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.56,0.0,0.0
2022-07-31 02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.56,0.0,0.0
2022-07-31 02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.56,0.0,0.0
2022-07-31 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.56,0.0,0.0
2022-07-31 03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.01,0.0,0.0
2022-07-31 03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.01,0.0,0.0
2022-07-31 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.97,3.92,2.11,6.01,0.0,0.0
2022-07-31 03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.11,6.01,0.0,0.0
2022-07-31 03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.96,3.7,2.11,6.01,0.0,0.0
